Project;Package;Class;Method;Version;LOC;Statement;Cyclomatic;Cognitive;MethodHistories;AddedLines;MaxAddedLines;AvgAddedLines;DeletedLines;MaxDeletedLines;AvgDeletedLines;Churn;MaxChurn;AvgChurn;BranchPoints;NestingDepth;ParametersCount;Buggy
BOOKKEEPER;org.apache.hedwig.server.delivery;ChannelEndPoint;equals;4.2.0;5;4;2;1;0;0;0;0,00;0;0;0,00;0;0;0,00;1;3;1;true
BOOKKEEPER;org.apache.hedwig.server.delivery;ChannelEndPoint;equals;4.2.1;5;4;2;1;0;0;0;0,00;0;0;0,00;0;0;0,00;1;3;1;true
BOOKKEEPER;org.apache.hedwig.server.netty;PubSubServer;uncaughtException;4.0.0;1;1;1;0;1;3;3;3,00;0;0;0,00;3;3;3,00;0;1;2;false
BOOKKEEPER;org.apache.hedwig.server.netty;PubSubServer;uncaughtException;4.1.0;1;1;1;0;0;0;0;0,00;0;0;0,00;0;0;0,00;0;1;2;false
BOOKKEEPER;org.apache.hedwig.server.netty;PubSubServer;uncaughtException;4.1.1;1;1;1;0;0;0;0;0,00;0;0;0,00;0;0;0,00;0;1;2;false
BOOKKEEPER;org.apache.hedwig.server.netty;PubSubServer;uncaughtException;4.2.0;1;1;1;0;0;0;0;0,00;0;0;0,00;0;0;0,00;0;1;2;true
BOOKKEEPER;org.apache.hedwig.server.netty;PubSubServer;uncaughtException;4.2.1;1;1;1;0;0;0;0;0,00;0;0;0,00;0;0;0,00;0;1;2;true
BOOKKEEPER;org.apache.hedwig.server.handlers;CloseSubscriptionHandler;handleRequestAtOwner;4.1.1;27;17;2;1;1;45;45;45,00;0;0;0,00;45;45;45,00;1;5;2;false
BOOKKEEPER;org.apache.hedwig.server.handlers;CloseSubscriptionHandler;handleRequestAtOwner;4.2.0;27;17;2;1;0;0;0;0,00;0;0;0,00;0;0;0,00;1;5;2;true
BOOKKEEPER;org.apache.hedwig.server.handlers;CloseSubscriptionHandler;handleRequestAtOwner;4.2.1;27;17;2;1;0;0;0;0,00;0;0;0,00;0;0;0,00;1;5;2;true
