Model;Feature Selection;Features Number;Fold;Precision;Recall;F1-score;Area Under ROC (AUC);Kappa;Accuracy;True Positive Rate (TPR);False Positive Rate (FPR);True Negative Rate (TNR);False Negative Rate (FNR);NPofB20
NaiveBayes;info-gain;13;1;0.8371428571428572;0.4185714285714286;0.5580952380952381;0.846931937723543;0.42850439882697966;0.7745383867832848;0.4185714285714286;0.04197349042709867;0.9580265095729014;0.5814285714285714;0.49714285714285716
NaiveBayes;info-gain;13;2;0.016903914590747332;0.4318181818181818;0.03253424657534247;0.6750238010893149;0.012380883383653252;0.7277108433734939;0.4318181818181818;0.26911836337067707;0.7308816366293229;0.5681818181818182;0.38636363636363635
NaiveBayes;info-gain;13;3;0.7647058823529411;0.010412494993992792;0.02054523903595417;0.605835276867199;0.004072528164787031;0.3888067061143984;0.010412494993992792;0.005131494547787043;0.994868505452213;0.9895875050060072;0.2851421706047257
NaiveBayes;info-gain;13;4;0.9844302901627743;0.4261642156862745;0.594825742997648;0.9314288889303344;0.31627825374313573;0.6085519520760174;0.4261642156862745;0.013950538998097653;0.9860494610019024;0.5738357843137255;0.2919730392156863
IBk;info-gain;13;1;0.5981912144702842;0.6614285714285715;0.6282225237449118;0.7481269724384599;0.421617197260156;0.7337220602526725;0.6614285714285715;0.22901325478645065;0.7709867452135494;0.3385714285714286;0.38285714285714284
IBk;info-gain;13;2;0.020833333333333332;0.6818181818181818;0.04043126684636118;0.6615429748040561;0.020272286583950666;0.656867469879518;0.6818181818181818;0.3433999025815879;0.6566000974184121;0.3181818181818182;0.36363636363636365
IBk;info-gain;13;3;0.8910012674271229;0.2815378454144974;0.4278758368837493;0.5949344473149691;0.1877414715986258;0.5364891518737672;0.2815378454144974;0.055163566388710714;0.9448364336112893;0.7184621545855026;0.2855426511814177
IBk;info-gain;13;4;0.9927817878956136;0.5477941176470589;0.7060217176702863;0.9083848940654258;0.4352113500419228;0.6924189217103904;0.5477941176470589;0.008243500317057704;0.9917564996829423;0.4522058823529412;0.29503676470588236
RandomForest;forward;5;1;0.6379585326953748;0.5714285714285714;0.6028636021100225;0.7595097832947612;0.41474967703918597;0.7439261418853256;0.5714285714285714;0.16715758468335787;0.8328424153166422;0.42857142857142855;0.41285714285714287
RandomForest;forward;5;2;0.012492192379762648;0.45454545454545453;0.0243161094224924;0.5778018863747066;0.0037559853912629555;0.6132530120481927;0.45454545454545453;0.38504627374573797;0.614953726254262;0.5454545454545454;0.29545454545454547
RandomForest;forward;5;3;NaN;0.0;NaN;0.6242874387045083;0.0;0.3843688362919132;0.0;0.0;1.0;1.0;0.32038446135362436
RandomForest;forward;5;4;1.0;0.030330882352941176;0.058876003568242644;0.933918724433337;0.01997222593741301;0.3462094608551952;0.030330882352941176;0.0;1.0;0.9696691176470589;0.2935049019607843
NaiveBayes;forward;4;1;0.6379310344827587;0.74;0.6851851851851852;0.7968451504313065;0.5039698292973401;0.7687074829931972;0.74;0.21649484536082475;0.7835051546391752;0.26;0.4471428571428571
NaiveBayes;forward;4;2;0.004768717215069146;0.22727272727272727;0.009341429238673517;0.3640210556613382;-0.011669980992146046;0.48891566265060243;0.22727272727272727;0.5082805650267901;0.4917194349732099;0.7727272727272727;0.09090909090909091
NaiveBayes;forward;4;3;0.8800841514726507;0.5026031237484982;0.6398164669895489;0.6311674073031319;0.34801263764691853;0.6516272189349113;0.5026031237484982;0.10968569595894805;0.8903143040410519;0.4973968762515018;0.30596716059271123
NaiveBayes;forward;4;4;0.9678037562284401;0.7735906862745098;0.85986718883024;0.9394558691422035;0.6505027658327136;0.8299938029332783;0.7735906862745098;0.05326569435637286;0.9467343056436271;0.2264093137254902;0.28799019607843135
IBk;forward;5;1;0.6769456681350955;0.6585714285714286;0.6676321506154961;0.7895907847675152;0.4998554559807868;0.7769679300291545;0.6585714285714286;0.16200294550810015;0.8379970544918999;0.3414285714285714;0.4342857142857143
IBk;forward;5;2;0.015748031496062992;0.5909090909090909;0.030678466076696168;0.599153677545056;0.01023550427480961;0.6040963855421687;0.5909090909090909;0.3957622990745251;0.6042377009254749;0.4090909090909091;0.25
IBk;forward;5;3;0.9477911646586346;0.28354024829795754;0.43649815043156603;0.5864980246982716;0.213508733183935;0.5493096646942801;0.28354024829795754;0.025016035920461834;0.9749839640795381;0.7164597517020425;0.2979575490588706
IBk;forward;5;4;0.9879587155963303;0.5278799019607843;0.6880990415335463;0.9247713571002275;0.4119524724362029;0.6773393926874612;0.5278799019607843;0.013316423589093214;0.9866835764109068;0.4721200980392157;0.2965686274509804
